online,Global Offensive Champions League Season 6,5/26/17,2883
online,Infinite Challenge Cup Weekly #1,5/26/17,2882
online,Dust2.dk eOddset Masters #10,5/25/17,2878
online,Liga PRO Alienware GamersClub #4,5/26/17,2877
online,Yoggi Yalla Cup 2017 - Qualifier 7,5/23/17,2875
online,Stream.me Gauntlet: CIS vs EU #6,5/26/17,2874
online,Farmskins Championship #1,5/26/17,2872
online,Farmskins Championship #1 Closed Qualifier,5/25/17,2871
regional-lan,GAMERZ Season 1: Nordic Edition,5/21/17,2870
local-lan,MSI GOEXANIMO #2,5/21/17,2869
online,Telenor League Spring 2017,5/20/17,2868
online,DreamHack Open Summer 2017 North America Closed Qualifier,5/22/17,2865
online,DreamHack Open Summer 2017 North America Open Qualifier,5/21/17,2864
online,DreamHack Open Summer 2017 Europe Closed Qualifier,5/22/17,2863
online,DreamHack Open Summer 2017 Europe Open Qualifier,5/20/17,2862
online,ESL One Cologne 2017 - China Open Qualifier,5/25/17,2861
local-lan,Cougar CS:GO Tournament LAN Final,5/18/17,2859
local-lan,Varle.lt Lithuanian eSports League 2017 Finals,5/20/17,2858
local-lan,Yoggi Yalla Cup 2017 - Inferno Online Qualifier,5/14/17,2857
online,AOC CyberGamer Premier League Winter 2017,5/25/17,2856
online,DolphinCS Shoot 'Em Up 3,5/24/17,2854
online,99Damage League Season 5,5/14/17,2852
online,Stream.me Gauntlet: CIS vs EU #5,5/16/17,2851
online,Asia Minor China Qualifier - PGL Major Krakow 2017,5/14/17,2850
online,CIS Minor Closed Qualifier - PGL Major Krakow 2017,5/19/17,2849
online,CIS Minor Qualifier - PGL Major Krakow 2017,5/14/17,2848
online,King of Nordic Season 7,5/26/17,2846
local-lan,PC-COOLERS LEAGUE CS:GO,5/7/17,2845
online,Subaru Invitational 2017,5/15/17,2844
online,ESL South East Europe Championship Season 5,5/25/17,2843
online,CEVO Main Season 12 Europe,5/24/17,2842
online,CEVO Main Season 12 North America,5/26/17,2841
online,UnderDogs #5,5/10/17,2840
local-lan,Tiger Masters Season 3 Qualification #1,4/30/17,2839
online,Playing Ducks HomeMasters 2 Qualifier,5/10/17,2837
online,Binary Dragons csgopolygon Cup 6,5/24/17,2835
online,The Adria Masters Season 1,5/19/17,2833
online,Liga PRO Alienware GamersClub #3,5/5/17,2831
online,ArcaneBet Balkan ProLeague Season 2,5/23/17,2830
online,Yoggi Yalla Cup 2017 - Qualifier 5,4/24/17,2829
online,Americas Minor North America Closed Qualifier - PGL Major Krakow 2017,5/14/17,2828
online,Americas Minor North America Qualifier - PGL Major Krakow 2017,5/7/17,2827
online,Americas Minor South America Qualifier - PGL Major Krakow 2017,4/30/17,2826
online,Douyu CS:GO Asia Invitational,4/28/17,2825
local-lan,Dust2.dk eOddset Masters #9 Finals,4/23/17,2824
local-lan,Minho Electronic Esports Cup,4/23/17,2823
online,Europe Minor Closed Qualifier - PGL Major Krakow 2017,5/19/17,2822
online,Europe Minor Qualifier 4 - PGL Major Krakow 2017,5/16/17,2821
online,Europe Minor Qualifier 3 - PGL Major Krakow 2017,5/10/17,2820
online,Europe Minor Qualifier 2 - PGL Major Krakow 2017,5/6/17,2819
online,Europe Minor Qualifier 1 - PGL Major Krakow 2017,4/29/17,2818
online,Over The Limits Cup #1,4/28/17,2816
online,CS:GO Super League 2017 - Spring Season,5/18/17,2815
online,Stream.me Gauntlet: CIS vs EU #4,4/22/17,2814
online,Hellcase Cup 4,5/22/17,2813
online,Hellcase Cup 4 Closed Qualifier,4/30/17,2812
online,Dust2.dk eOddset Masters #9 IWDK Edition,4/21/17,2810
online,BETSCSGO CUP #1,5/4/17,2809
local-lan,InfoShow Lan Party 2017,4/22/17,2808
intl-lan,4Gamers CS:GO Masters,5/7/17,2807
online,Yoggi Yalla Cup 2017 - Qualifier 4,4/17/17,2806
online,5K Maximum Level Season 1,4/21/17,2805
local-lan,TTU e-Sport Spring 2017,4/16/17,2804
online,SLTV ProSeries XVII,4/20/17,2803
regional-lan,ESL Australia & NZ Championship Season 3 Finals,5/21/17,2802
local-lan,Danish Championship 2017,4/13/17,2800
online,German Clash Season 1 Finals,4/16/17,2799
local-lan,ESL Polish Championship 2017,4/30/17,2798
online,ESL Pro League Season 5 North America Relegation,5/19/17,2797
online,ESL Pro League Season 5 Europe Relegation,5/18/17,2796
online,ESL One Cologne 2017 - North America Closed Qualifier,5/21/17,2795
online,ESL One Cologne 2017 - North America Qualifier 2,4/30/17,2794
online,ESL One Cologne 2017 - North America Qualifier 1,4/23/17,2793
online,ESL One Cologne 2017 - Europe Closed Qualifier,5/21/17,2792
online,ESL One Cologne 2017 - Europe Qualifier 2,4/29/17,2791
online,ESL One Cologne 2017 - Europe Qualifier 1,4/24/17,2790
online,ESEA Main Season 24 North America,4/24/17,2789
online,Asia Minor Oceania Qualifier - PGL Major Krakow 2017,4/30/17,2788
online,Asia Minor SEA and India Qualifier - PGL Major Krakow 2017,4/28/17,2787
online,Asia Minor East Asia Qualifier - PGL Major Krakow 2017,4/23/17,2786
online,Asia Minor Middle East Qualifier - PGL Major Krakow 2017,4/23/17,2785
online,Yoggi Yalla Cup 2017 - Qualifier 3,4/10/17,2784
local-lan,Brasil Game Cup Rio 2017,4/10/17,2783
online,ESEA Main Season 24 Europe,4/24/17,2782
online,Headshot Cup #1,4/25/17,2781
online,LootBet Cup #1,5/8/17,2780
online,ESL Major League Spring 2017,5/1/17,2779
online,GeForce Cup 2017 Closed Qualifier,5/17/17,2778
local-lan,Israel GAMEIN Championship,4/6/17,2776
online,CyberGamer Intermediate Season 10 Finals,4/10/17,2775
local-lan,Playing Ducks HomeMasters 2,5/20/17,2774
online,ESEA Open Season 24 Latin America,4/27/17,2773
local-lan,ESL Meisterschaft Spring 2017 Finals,5/6/17,2772
online,Dust2.dk eOddset Masters #8,4/6/17,2771
online,Yoggi Yalla Cup 2017 - Qualifier 2,4/3/17,2770
online,Operation: Kinguin #4,4/5/17,2769
online,Arab Gaming Championship,4/8/17,2768
online,Stream.me Gauntlet: CIS vs EU #3,4/10/17,2767
online,WCA 2017 China Qualifier,5/10/17,2766
local-lan,Acer CyberGamer Premier League Autumn 2017 Finals,4/8/17,2765
