Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
9/5/14,Mirage,5231,CT,16,10,6,0,5554,T,12,5,7,0,2292579/ibuypower-vs-flaming-rainbows-esea-invite-season-17-north-america
7/10/15,Cache,4411,CT,16,11,5,0,6045,T,8,4,4,0,2296934/nip-vs-ldlc-white-eswc-2015
10/11/14,Dust2,4674,CT,16,6,10,0,4468,T,14,9,5,0,2293116/ldlc-vs-x6tence-hitbox-arena-championship-3
10/11/14,Cache,4674,CT,16,11,5,0,4468,T,9,4,5,0,2293116/ldlc-vs-x6tence-hitbox-arena-championship-3
12/18/14,Cache,5378,T,16,12,4,0,5814,CT,4,3,1,0,2293761/virtuspro-vs-vination-mlg-x-games-championship-qualifier-1-europe
12/18/14,Overpass,5378,T,16,9,7,0,5814,CT,14,6,8,0,2293761/virtuspro-vs-vination-mlg-x-games-championship-qualifier-1-europe
9/8/14,Season,5543,CT,8,5,3,0,5086,T,16,10,6,0,2292594/exertus-vs-netcodeguidescom-esea-invite-season-17-north-america
8/12/14,Dust2,5642,T,6,3,3,0,5568,CT,16,12,4,0,2292344/4andahalfmen-vs-rasta-esl-uk-community-challenge-s2-cup-4
12/18/14,Dust2,5422,CT,16,13,3,0,5284,T,5,2,3,0,2293769/dignitas-vs-titan-mlg-x-games-championship-qualifier-1-europe
12/18/14,Cache,5422,CT,16,14,2,0,5284,T,1,1,0,0,2293769/dignitas-vs-titan-mlg-x-games-championship-qualifier-1-europe
7/10/15,Overpass,6195,T,6,5,1,0,5973,CT,16,10,6,0,2296935/qeeyou-vs-liquid-eswc-2015
10/14/14,Inferno,4991,T,16,11,5,0,4548,CT,13,4,9,0,2293153/fnatic-vs-cph-wolves-hitbox-arena-championship-3
10/14/14,Cache,4991,T,16,9,7,0,4548,CT,12,6,6,0,2293153/fnatic-vs-cph-wolves-hitbox-arena-championship-3
8/12/14,Inferno,5411,T,10,4,6,0,5617,CT,16,11,5,0,2292343/svettiga-vs-united-estonia-esl-uk-community-challenge-s2-cup-4
9/9/14,Season,5700,CT,16,5,11,0,5752,T,10,10,0,0,2292601/lunatik-vs-cloud9-esea-invite-season-17-north-america
7/10/15,Cache,5752,CT,16,7,9,0,5988,T,10,8,2,0,2296936/cloud9-vs-flipsid3-eswc-2015
12/18/14,Mirage,4608,T,16,6,10,0,4532,CT,13,9,4,0,2293770/natus-vincere-vs-esc-mlg-x-games-championship-qualifier-1-europe
12/18/14,Overpass,4608,T,12,6,6,0,4532,CT,16,9,7,0,2293770/natus-vincere-vs-esc-mlg-x-games-championship-qualifier-1-europe
12/18/14,Nuke,4608,T,11,9,2,0,4532,CT,16,6,10,0,2293770/natus-vincere-vs-esc-mlg-x-games-championship-qualifier-1-europe
8/12/14,Dust2,5568,T,16,10,6,0,5617,CT,11,5,6,0,2292345/united-estonia-vs-4andahalfmen-esl-uk-community-challenge-s2-cup-4
9/10/14,Dust2,5086,T,7,5,2,0,5700,CT,16,10,6,0,2292620/lunatik-vs-exertus-esea-invite-season-17-north-america
10/16/14,Cache,4991,T,16,5,11,0,4674,CT,11,10,1,0,2293157/fnatic-vs-ldlc-hitbox-arena-championship-3
10/16/14,Dust2,4991,T,13,3,10,0,4674,CT,16,12,4,0,2293157/fnatic-vs-ldlc-hitbox-arena-championship-3
10/16/14,Inferno,4991,T,5,2,3,0,4674,CT,16,13,3,0,2293157/fnatic-vs-ldlc-hitbox-arena-championship-3
7/10/15,Inferno,5991,CT,16,12,4,0,5158,T,3,3,0,0,2296942/envyus-vs-bravado-eswc-2015
12/18/14,Inferno,4674,T,16,11,5,0,4456,CT,9,4,5,0,2293759/ldlc-vs-epsilon-mlg-x-games-championship-qualifier-1-europe
12/18/14,Dust2,4674,T,16,5,10,1,4456,CT,19,10,5,4,2293759/ldlc-vs-epsilon-mlg-x-games-championship-qualifier-1-europe
12/18/14,Cache,4674,T,16,11,5,0,4456,CT,8,4,4,0,2293759/ldlc-vs-epsilon-mlg-x-games-championship-qualifier-1-europe
9/10/14,Season,5554,CT,16,5,11,0,5454,T,12,10,2,0,2292621/flaming-rainbows-vs-skdc-esea-invite-season-17-north-america
7/10/15,Overpass,4608,T,16,9,7,0,6137,CT,8,6,2,0,2296940/natus-vincere-vs-sk-eswc-2015
12/19/14,Inferno,4674,T,16,8,8,0,4532,CT,8,7,1,0,2293772/ldlc-vs-esc-mlg-x-games-championship-qualifier-1-europe
12/19/14,Overpass,4674,T,16,13,3,0,4532,CT,9,2,7,0,2293772/ldlc-vs-esc-mlg-x-games-championship-qualifier-1-europe
10/20/14,Cache,5378,T,16,10,6,0,5422,CT,6,5,1,0,2293158/virtuspro-vs-dignitas-hitbox-arena-championship-3
10/20/14,Inferno,5378,T,7,6,1,0,5422,CT,16,9,7,0,2293158/virtuspro-vs-dignitas-hitbox-arena-championship-3
10/20/14,Overpass,5378,T,9,2,7,0,5422,CT,16,13,3,0,2293158/virtuspro-vs-dignitas-hitbox-arena-championship-3
9/15/14,Dust2,5543,CT,16,15,1,0,5454,T,4,0,4,0,2292689/netcodeguidescom-vs-skdc-esea-invite-season-17-north-america
7/10/15,Dust2,5284,T,16,11,5,0,6021,CT,7,4,3,0,2296941/titan-vs-luminosity-eswc-2015
12/19/14,Nuke,5422,T,19,6,9,4,5378,CT,17,9,6,2,2293771/dignitas-vs-virtuspro-mlg-x-games-championship-qualifier-1-europe
12/19/14,Cobblestone,5422,T,16,11,5,0,5378,CT,7,4,3,0,2293771/dignitas-vs-virtuspro-mlg-x-games-championship-qualifier-1-europe
9/16/14,Dust2,5700,CT,16,12,4,0,5554,T,12,3,9,0,2292703/lunatik-vs-flaming-rainbows-esea-invite-season-17-north-america
11/4/14,Inferno,5422,T,16,7,9,0,4674,CT,13,8,5,0,2293402/dignitas-vs-ldlc-hitbox-arena-championship-3
8/25/14,Mirage,5540,T,9,5,4,0,5395,CT,16,10,6,0,2292461/ttc-vs-penta-faceit-league-2-eu-closed-qualifier
7/10/15,Cache,5974,T,13,10,3,0,6211,CT,16,5,11,0,2296943/clg-vs-renegades-eswc-2015
12/19/14,Dust2,4674,CT,5,3,2,0,5422,T,16,12,4,0,2293779/ldlc-vs-dignitas-mlg-x-games-championship-qualifier-1-europe
12/19/14,Inferno,4674,CT,16,10,6,0,5422,T,9,5,4,0,2293779/ldlc-vs-dignitas-mlg-x-games-championship-qualifier-1-europe
12/19/14,Nuke,4674,CT,13,12,1,0,5422,T,16,3,13,0,2293779/ldlc-vs-dignitas-mlg-x-games-championship-qualifier-1-europe
9/16/14,Dust2,5752,T,16,12,4,0,5095,CT,10,3,7,0,2292705/cloud9-vs-reliable-esea-invite-season-17-north-america
8/25/14,Inferno,5766,CT,16,12,4,0,5451,T,8,3,5,0,2292463/dope-vs-orbit-faceit-league-2-eu-closed-qualifier
4/14/15,Inferno,5817,CT,16,15,1,0,6099,T,0,0,0,0,2295212/gplay-vs-giant5-balkan-superleague
9/17/14,Dust2,5554,CT,10,7,3,0,5543,T,16,8,8,0,2292747/netcodeguidescom-vs-flaming-rainbows-esea-invite-season-17-north-america
7/10/15,Mirage,4608,CT,16,13,3,0,5284,T,2,2,0,0,2296948/natus-vincere-vs-titan-eswc-2015
8/25/14,Mirage,4695,T,16,9,7,0,5653,CT,11,6,5,0,2292464/tmvg-vs-mtw-faceit-league-2-eu-closed-qualifier
4/15/15,Inferno,5817,CT,16,12,4,0,4922,T,3,3,0,0,2295229/gplay-vs-nextplease-balkan-superleague
9/19/14,Train,5086,CT,16,10,6,0,5095,T,9,5,4,0,2292777/exertus-vs-reliable-esea-invite-season-17-north-america
8/25/14,Cache,4456,T,16,10,6,0,5395,CT,6,5,1,0,2292466/epsilon-vs-penta-faceit-league-2-eu-closed-qualifier
4/15/15,Inferno,6059,CT,9,9,0,0,6046,T,16,6,10,0,2295233/rock-vs-tricked-balkan-superleague
7/10/15,Cache,5991,CT,16,11,5,0,6211,T,6,4,2,0,2296946/envyus-vs-renegades-eswc-2015
9/19/14,Train,5554,T,16,6,10,0,5095,CT,11,9,2,0,2292778/flaming-rainbows-vs-reliable-esea-invite-season-17-north-america
8/25/14,Nuke,5310,CT,16,9,7,0,4695,T,10,6,4,0,2292468/hellraisers-vs-tmvg-faceit-league-2-eu-closed-qualifier
4/15/15,Inferno,6059,CT,11,10,1,0,4690,T,16,5,11,0,2295234/rock-vs-headshotbg-balkan-superleague
9/22/14,Train,5700,T,16,3,13,0,5454,CT,13,12,1,0,2292823/lunatik-vs-skdc-esea-invite-season-17-north-america
7/10/15,Cobblestone,6021,T,11,6,5,0,6137,CT,16,9,7,0,2296949/luminosity-vs-sk-eswc-2015
4/15/15,Inferno,6046,CT,16,9,7,0,6099,T,8,6,2,0,2295228/tricked-vs-giant5-balkan-superleague
8/14/14,Dust2,4411,T,16,11,5,0,5741,CT,7,4,3,0,2292335/nip-vs-wolf-esl-one-cologne-2014
9/22/14,Train,5231,T,16,10,6,0,5554,CT,6,5,1,0,2292821/ibuypower-vs-flaming-rainbows-esea-invite-season-17-north-america
8/25/14,Inferno,4548,CT,26,10,5,11,5766,T,21,5,10,6,2292467/orbit-vs-cph-wolves-faceit-league-2-eu-closed-qualifier
7/10/15,Dust2,5158,CT,7,3,4,0,5974,T,16,12,4,0,2296947/bravado-vs-clg-eswc-2015
9/22/14,Train,5231,CT,16,13,3,0,5454,T,2,2,0,0,2292822/ibuypower-vs-skdc-esea-invite-season-17-north-america
4/15/15,Cache,6046,CT,11,6,5,0,4690,T,16,9,7,0,2295232/tricked-vs-headshotbg-balkan-superleague
8/26/14,Cache,4456,CT,16,13,3,0,4548,T,2,2,0,0,2292477/epsilon-vs-cph-wolves-faceit-league-2-eu-closed-qualifier
8/26/14,Dust2,4456,CT,16,11,5,0,4548,T,4,4,0,0,2292477/epsilon-vs-cph-wolves-faceit-league-2-eu-closed-qualifier
8/14/14,Inferno,5310,T,1,1,0,0,4456,CT,16,14,2,0,2292336/epsilon-vs-hellraisers-esl-one-cologne-2014
9/9/14,Dust2,4991,T,16,14,2,0,4494,CT,1,1,0,0,2292586/fnatic-vs-mousesports-caseking-of-the-hill-7
9/9/14,Mirage,4991,T,16,10,6,0,4494,CT,6,5,1,0,2292586/fnatic-vs-mousesports-caseking-of-the-hill-7
9/24/14,Train,5752,CT,16,12,4,0,5086,T,8,3,5,0,2292871/cloud9-vs-exertus-esea-invite-season-17-north-america
4/16/15,Cache,6100,T,15,2,13,0,4922,CT,15,13,2,0,2295262/rb-vs-nextplease-balkan-superleague
8/14/14,Mirage,5310,CT,16,11,5,0,5741,T,4,4,0,0,2292354/hellraisers-vs-wolf-esl-one-cologne-2014
4/21/15,Cache,4802,CT,16,11,5,0,6099,T,6,4,2,0,2295346/entity-vs-giant5-balkan-superleague
8/26/14,Mirage,5310,CT,16,9,7,0,4494,T,9,6,3,0,2292476/hellraisers-vs-mousesports-faceit-league-2-eu-closed-qualifier
8/26/14,Inferno,5310,CT,16,9,7,0,4494,T,9,6,3,0,2292476/hellraisers-vs-mousesports-faceit-league-2-eu-closed-qualifier
9/9/14,Dust2,4411,T,0,0,0,0,4991,CT,16,15,1,0,2292587/fnatic-vs-nip-caseking-of-the-hill-7
9/9/14,Inferno,4411,T,7,5,2,0,4991,CT,16,10,6,0,2292587/fnatic-vs-nip-caseking-of-the-hill-7
8/14/14,Nuke,4674,CT,16,13,3,0,5569,T,2,2,0,0,2292337/ldlc-vs-london-conspiracy-esl-one-cologne-2014
4/22/15,Cache,4802,T,8,6,2,0,4922,CT,16,9,7,0,2295352/entity-vs-nextplease-balkan-superleague
7/11/15,Inferno,4608,CT,16,9,7,0,6021,T,7,6,1,0,2296944/natus-vincere-vs-luminosity-eswc-2015
8/14/14,Inferno,4548,T,6,3,3,0,4608,CT,16,12,4,0,2292338/natus-vincere-vs-cph-wolves-esl-one-cologne-2014
4/23/15,Dust2,5817,T,16,10,6,0,4802,CT,9,5,4,0,2295382/gplay-vs-entity-balkan-superleague
7/11/15,Cobblestone,6137,CT,16,12,4,0,5284,T,8,3,5,0,2296945/sk-vs-titan-eswc-2015
8/14/14,Cache,4548,CT,16,11,5,0,5569,T,5,4,1,0,2292356/cph-wolves-vs-london-conspiracy-esl-one-cologne-2014
4/27/15,Inferno,5817,T,16,6,10,0,6046,CT,12,9,3,0,2295415/gplay-vs-tricked-balkan-superleague
7/11/15,Inferno,6211,CT,16,12,4,0,5158,T,5,3,2,0,2296951/renegades-vs-bravado-eswc-2015
8/14/14,Overpass,5378,CT,16,9,7,0,5593,T,7,6,1,0,2292339/virtuspro-vs-dat-esl-one-cologne-2014
4/27/15,Train,6100,T,6,3,3,0,5817,CT,16,12,4,0,2295416/rb-vs-gplay-balkan-superleague
7/11/15,Cache,5991,CT,16,11,5,0,5974,T,10,4,6,0,2296950/envyus-vs-clg-eswc-2015
4/27/15,Cache,6100,T,3,3,0,0,6059,CT,16,12,4,0,2295417/rb-vs-rock-balkan-superleague
8/14/14,Cobblestone,4991,CT,16,9,7,0,5231,T,7,6,1,0,2292340/fnatic-vs-ibuypower-esl-one-cologne-2014
4/27/15,Dust2,6059,T,16,7,9,0,4802,CT,12,8,4,0,2295418/rock-vs-entity-balkan-superleague
7/11/15,Overpass,5752,T,16,6,10,0,5973,CT,11,9,2,0,2296959/cloud9-vs-liquid-eswc-2015
7/11/15,Inferno,5752,T,16,10,6,0,5973,CT,14,5,9,0,2296959/cloud9-vs-liquid-eswc-2015
10/30/14,Cache,4586,CT,16,11,5,0,5867,T,4,4,0,0,2293372/ubinited-vs-reason-fe-eswc-2014-female
8/14/14,Cobblestone,5231,CT,16,12,4,0,5593,T,6,3,3,0,2292360/ibuypower-vs-dat-esl-one-cologne-2014
5/4/15,Inferno,6099,CT,13,5,8,0,4922,T,16,10,6,0,2295508/giant5-vs-nextplease-balkan-superleague
8/14/14,Dust2,5422,CT,16,9,7,0,4784,T,9,6,3,0,2292341/dignitas-vs-vox-eminor-esl-one-cologne-2014
10/30/14,Mirage,5770,T,16,8,8,0,4586,CT,14,7,7,0,2293374/myxmg-fe-vs-ubinited-eswc-2014-female
7/11/15,Train,5991,T,16,12,4,0,6137,CT,6,3,3,0,2296960/envyus-vs-sk-eswc-2015
7/11/15,Cache,5991,T,16,9,7,0,6137,CT,13,6,7,0,2296960/envyus-vs-sk-eswc-2015
5/4/15,Inferno,4690,CT,16,11,5,0,6099,T,5,4,1,0,2295509/headshotbg-vs-giant5-balkan-superleague
8/14/14,Dust2,5284,T,18,11,4,3,5752,CT,22,4,11,7,2292342/cloud9-vs-titan-esl-one-cologne-2014
5/4/15,Inferno,4690,CT,11,3,8,0,6100,T,16,12,4,0,2295510/headshotbg-vs-rb-balkan-superleague
10/30/14,Nuke,5867,T,16,4,12,0,5770,CT,14,11,3,0,2293376/reason-fe-vs-myxmg-fe-eswc-2014-female
10/30/14,Inferno,5865,T,16,14,2,0,5866,CT,8,1,7,0,2293378/3dmax-fe-vs-karma-eswc-2014-female
5/4/15,Overpass,4690,T,5,2,3,0,5817,CT,16,13,3,0,2295511/headshotbg-vs-gplay-balkan-superleague
7/11/15,Inferno,4411,CT,16,14,2,0,5988,T,1,1,0,0,2296961/nip-vs-flipsid3-eswc-2015
7/11/15,Mirage,4411,CT,10,2,8,0,5988,T,16,13,3,0,2296961/nip-vs-flipsid3-eswc-2015
7/11/15,Overpass,4411,CT,12,6,6,0,5988,T,16,9,7,0,2296961/nip-vs-flipsid3-eswc-2015
8/14/14,Nuke,5284,CT,16,14,2,0,4784,T,1,1,0,0,2292363/titan-vs-vox-eminor-esl-one-cologne-2014
10/30/14,Nuke,4587,CT,9,8,1,0,5763,T,16,7,9,0,2293377/alternate-fe-vs-aces-ladies-eswc-2014-female
5/8/15,Inferno,4922,T,13,6,7,0,6046,CT,16,9,7,0,2295588/nextplease-vs-tricked-balkan-superleague
10/30/14,Inferno,5763,CT,8,8,0,0,5865,T,16,7,9,0,2293380/aces-ladies-vs-3dmax-fe-eswc-2014-female
7/11/15,Overpass,4608,CT,16,9,7,0,6211,T,8,6,2,0,2296962/natus-vincere-vs-renegades-eswc-2015
7/11/15,Train,4608,CT,16,10,6,0,6211,T,5,5,0,0,2296962/natus-vincere-vs-renegades-eswc-2015
8/15/14,Cobblestone,4411,CT,6,6,0,0,4456,T,16,9,7,0,2292355/epsilon-vs-nip-esl-one-cologne-2014
5/8/15,Mirage,6100,T,16,5,11,0,6046,CT,11,10,1,0,2295589/rb-vs-tricked-balkan-superleague
10/30/14,Cache,4587,T,15,2,13,0,5866,CT,15,13,2,0,2293379/alternate-fe-vs-karma-eswc-2014-female
5/8/15,Dust2,6100,T,15,9,6,0,6099,CT,15,6,9,0,2295590/rb-vs-giant5-balkan-superleague
8/15/14,Overpass,5310,T,11,5,6,0,4411,CT,16,10,6,0,2292358/nip-vs-hellraisers-esl-one-cologne-2014
10/30/14,Mirage,5866,CT,16,8,8,0,5763,T,14,7,7,0,2293382/karma-vs-aces-ladies-eswc-2014-female
7/12/15,Train,5752,CT,16,10,6,0,5991,T,8,5,3,0,2296983/cloud9-vs-envyus-eswc-2015
7/12/15,Cobblestone,5752,CT,19,10,5,4,5991,T,17,5,10,2,2296983/cloud9-vs-envyus-eswc-2015
5/11/15,Overpass,4690,CT,16,11,5,0,4922,T,4,4,0,0,2295626/headshotbg-vs-nextplease-balkan-superleague
10/31/14,Nuke,5867,CT,16,13,3,0,5866,T,2,2,0,0,2293383/reason-fe-vs-karma-eswc-2014-female
10/31/14,Cobblestone,5867,CT,10,1,9,0,5866,T,16,14,2,0,2293383/reason-fe-vs-karma-eswc-2014-female
10/31/14,Mirage,5867,CT,5,4,1,0,5866,T,16,11,5,0,2293383/reason-fe-vs-karma-eswc-2014-female
8/15/14,Inferno,4674,CT,16,8,8,0,4608,T,12,7,5,0,2292357/ldlc-vs-natus-vincere-esl-one-cologne-2014
7/12/15,Mirage,5988,CT,9,7,2,0,4608,T,16,8,8,0,2296984/flipsid3-vs-natus-vincere-eswc-2015
7/12/15,Inferno,5988,CT,1,1,0,0,4608,T,16,14,2,0,2296984/flipsid3-vs-natus-vincere-eswc-2015
5/11/15,Cache,6059,CT,16,13,3,0,4922,T,6,2,4,0,2295627/rock-vs-nextplease-balkan-superleague
8/15/14,Dust2,4548,CT,17,5,10,2,4608,T,19,10,5,4,2292359/natus-vincere-vs-cph-wolves-esl-one-cologne-2014
5/11/15,Dust2,6059,CT,16,10,6,0,6099,T,12,5,7,0,2295628/rock-vs-giant5-balkan-superleague
11/1/14,Cobblestone,5865,T,16,9,7,0,5866,CT,7,6,1,0,2293386/3dmax-fe-vs-karma-eswc-2014-female
11/1/14,Nuke,5865,T,16,13,3,0,5866,CT,11,2,9,0,2293386/3dmax-fe-vs-karma-eswc-2014-female
5/18/15,Dust2,5817,CT,12,7,5,0,6059,T,16,8,8,0,2295751/gplay-vs-rock-balkan-superleague
